id,source,create_time,create_time_ms,currency_pair,base_currency,quote_currency,side,role,amount,price,order_id,fee,fee_currency
spot_9250540071,spot,1716198756,1716198756350,BTC_USDT,BTC,USDT,buy,taker,7e-05,66888.1,588550292585.0,7e-08,BTC
spot_9251803579,spot,1716204336,1716204336367,BTC_USDT,BTC,USDT,sell,taker,6e-05,67250.0,588597111756.0,0.004035,USDT
spot_9279589265,spot,1716299117,1716299117560,TRX_USDT,TRX,USDT,buy,taker,59.21,0.1239,589542765235.0,0.05921,TRX
spot_9279589264,spot,1716299117,1716299117560,TRX_USDT,TRX,USDT,buy,taker,96.0,0.12386,589542765235.0,0.096,TRX
spot_9283659019,spot,1716310428,1716310428610,TRX_USDT,TRX,USDT,buy,taker,355.98,0.12357,589678384578.0,0.35598,TRX
spot_9292973930,spot,1716344571,1716344571567,TRX_USDT,TRX,USDT,buy,taker,249.96,0.12386,590001034666.0,0.24996,TRX
spot_9292973928,spot,1716344571,1716344571561,TRX_USDT,TRX,USDT,buy,taker,121.16,0.12386,590001034619.0,0.12116,TRX
spot_9292973929,spot,1716344571,1716344571561,TRX_USDT,TRX,USDT,buy,taker,128.8,0.12386,590001034619.0,0.1288,TRX
spot_9293154754,spot,1716345234,1716345234670,TRX_USDT,TRX,USDT,buy,taker,232.83,0.12379,590006948936.0,0.23283,TRX
spot_9293154755,spot,1716345234,1716345234670,TRX_USDT,TRX,USDT,buy,taker,232.83,0.12379,590006948939.0,0.23283,TRX
spot_9293497859,spot,1716346488,1716346488301,TRX_USDT,TRX,USDT,sell,taker,280.26,0.12377,590018357972.0,0.0346877802,USDT
spot_9293721411,spot,1716347356,1716347356524,TRX_USDT,TRX,USDT,buy,taker,287.65,0.12371,590025989898.0,0.28765,TRX
spot_9293738883,spot,1716347431,1716347431961,TRX_USDT,TRX,USDT,sell,taker,258.39,0.12368,590026657946.0,0.0319576752,USDT
spot_9293738851,spot,1716347431,1716347431913,TRX_USDT,TRX,USDT,sell,taker,180.24,0.12368,590026657500.0,0.0222920832,USDT
spot_9293738852,spot,1716347431,1716347431913,TRX_USDT,TRX,USDT,sell,taker,109.95,0.12368,590026657500.0,0.013598616,USDT
spot_9295771792,spot,1716354375,1716354375172,TRX_USDT,TRX,USDT,buy,taker,277.48,0.12323,590092217616.0,0.27748,TRX
spot_9295771768,spot,1716354375,1716354375154,TRX_USDT,TRX,USDT,sell,taker,81.18,0.12322,590092217370.0,0.0100029996,USDT
